Experiment,C_d  [realDrag/q*S],Real Airfoil Drag [Nominal Drag - Parasitic Drag],Total Parasitic Drag [D_skin + D_Pressure],Skin friction summation (2 end + 2 support + 1 tail),Pressure Drag Summation (2 end +2 support + 1 tail),1 endplate pressure  drag  [q*A_frontal * CD],1 support pressure  drag  [q*A_frontal * CD],1 tail pressure  drag  [q*A_frontal * CD],1 endplate Skin friction  [q*A_wet * (1.328 / sqrt(Re))],1 Support Skin friction  [q*A_wet * (1.328 / sqrt(Re))],1 tail Skin friction  [q*A_wet * (1.328 / sqrt(Re))],Re endplates [ρ·V·D/μ],Re support strut [ρ·V·D/μ],Re tail strut [ρ·V·D/μ],Centre of Pressure (h_cp) [h_b - (Cm/Cl)],CD induced [(Cl^2) / (π * e * AR)],Wing Skin Friction [q*S*2*(1.328/SQRT(RE))],Wing Pressure drag [q*S*CD],Cm [M/(q·S·c)],Cl [L/(q·S)],Reynolds [ρ·V·c/μ],Dynamic Pressure q (Pa) [0.5·ρ·V²],Velocity of Flow (m/s) [SQRT(2*(dP)/ρ)],Delta Pressure (in mm of water) [lab data],AoA (Rads) [lab data],AoA (°) [lab data],Lift (N) [lab data],Nominal Drag (N) (not real value) [lab data],Pitching Moment [lab data]
Experiment_1 2D airfoil at Low Re,0.050872158,0.406150382,0.771849618,0.075114381,0.696735238,0.018505584,0.240225612,0.179272845,0.012770129,0.017310196,0.014953732,121607.7612,9311.680002,6949.014927,0.64791259,0,0.060807077,0.399187294,-0.087320271,0.219,121607.7612,64.2555,10.23602435,6.55,-0.06981317,-4,1.752,1.178,-0.122
Experiment_1 2D airfoil at Low Re,0.047581687,0.379300125,0.770699875,0.075028356,0.69567152,0.018477331,0.239858856,0.178999146,0.012755503,0.017290371,0.014936606,121514.8954,9304.569134,6943.708309,0.419910518,0,0.060737437,0.398577848,-0.087453789,0.515,121514.8954,64.1574,10.22820761,6.54,0,0,4.103,1.15,-0.122
Experiment_1 2D airfoil at Low Re,0.057566503,0.461701349,0.775298651,0.07537226,0.699926391,0.018590342,0.241325882,0.180093942,0.01281397,0.017369625,0.01500507,121885.9341,9332.980099,6964.910521,0.318941443,0,0.061015837,0.401015633,-0.056285658,0.816,121885.9341,64.5498,10.25943885,6.58,0.06981317,4,6.548,1.237,-0.079
Experiment_1 2D airfoil at Low Re,0.080916201,0.647000671,0.772999329,0.075200373,0.697798956,0.018533837,0.240592369,0.179546544,0.012784748,0.017330013,0.014970851,121700.5562,9318.785444,6954.317495,0.328980677,0,0.06087669,0.39979674,-0.083613917,1.059,121700.5562,64.3536,10.24383513,6.56,0.13962634,8,8.465,1.42,-0.117
Experiment_1 2D airfoil at Low Re,0.118133818,0.943150382,0.771849618,0.075114381,0.696735238,0.018505584,0.240225612,0.179272845,0.012770129,0.017310196,0.014953732,121607.7612,9311.680002,6949.014927,0.319225288,0,0.060807077,0.399187294,-0.085173052,1.23,121607.7612,64.2555,10.23602435,6.55,0.20943951,12,9.823,1.715,-0.119
Experiment_1 2D airfoil at Low Re,0.169846696,1.329099627,0.756900373,0.073993469,0.682906905,0.018138298,0.235457776,0.175714758,0.012579563,0.017051881,0.014730581,120394.9186,9218.810907,6879.709632,0.316413272,0,0.059899669,0.391264493,-0.088358206,1.33,120394.9186,62.9802,10.1339364,6.42,0.27925268,16,10.411,2.086,-0.121
Experiment_1 2D airfoil at Low Re,0.232056465,1.790452428,0.746547572,0.073214129,0.673333443,0.017884022,0.232156966,0.173251467,0.012447068,0.016872281,0.014575431,119548.0505,9153.965008,6831.31717,0.336786352,0,0.059268773,0.385779476,-0.113314182,1.306,119548.0505,62.0973,10.06265343,6.33,0.296705973,17,10.074,2.537,-0.153
Experiment_1 2D airfoil at Low Re,0.167481726,1.284054561,0.741945439,0.072866868,0.669078572,0.017771011,0.230689939,0.172156671,0.012388031,0.016792254,0.014506298,119169.7329,9124.996691,6809.699023,0.341898911,0,0.058987656,0.383341691,-0.119997384,1.306,119169.7329,61.7049,10.03080951,6.29,0.314159265,18,10.011,2.026,-0.161
Experiment_1 2D airfoil at Low Re,0.297609692,2.259958797,0.735041203,0.072344938,0.662696264,0.017601494,0.228489399,0.170514477,0.012299298,0.016671975,0.014402393,118599.9939,9081.370959,6777.142507,0.34565356,0,0.05856514,0.379685014,-0.124163071,1.298,118599.9939,61.1163,9.982853177,6.23,0.34906585,20,9.857,2.995,-0.165
Experiment_2 2D airfoil at High Re,0.04100528,0.721226241,1.670773759,0.1358288,1.534944959,0.04076879,0.52922986,0.394947657,0.023092133,0.031301904,0.027040727,180498.588,13821.03474,10314.20503,1.881669535,0,0.109957005,0.879430939,-0.076997843,0.047,180498.588,141.5583,15.19301008,14.43,-0.06981317,-4,0.83,2.392,-0.237
