Experiment,Velocity of Flow (m/s) (Derived),Delta Pressure (in mm of water),Angle of Attack (°),Lift (N),Nominal Drag (N) (not real value),Pitching Moment
Experiment_1 2D airfoil,10.23602435,6.55,-4,1.752,1.178,-0.122
Experiment_1 2D airfoil,10.22820761,6.54,0,4.103,1.15,-0.122
Experiment_1 2D airfoil,10.25943885,6.58,4,6.548,1.237,-0.079
Experiment_1 2D airfoil,10.24383513,6.56,8,8.465,1.42,-0.117
Experiment_1 2D airfoil,10.23602435,6.55,12,9.823,1.715,-0.119
Experiment_1 2D airfoil,10.1339364,6.42,16,10.411,2.086,-0.121
Experiment_1 2D airfoil,10.06265343,6.33,17,10.074,2.537,-0.153
Experiment_1 2D airfoil,10.03080951,6.29,18,10.011,2.026,-0.161
Experiment_1 2D airfoil,9.982853177,6.23,20,9.857,2.995,-0.165
Experiment_2 2D airfoil at High Re,15.19301008,14.43,-4,0.830,2.392,-0.237
Experiment_2 2D airfoil at High Re,15.24031588,14.52,0,5.977,2.351,-0.178
Experiment_2 2D airfoil at High Re,15.25605189,14.55,4,11.614,2.535,-0.168
Experiment_2 2D airfoil at High Re,15.26129362,14.56,8,16.058,2.954,-0.161
Experiment_2 2D airfoil at High Re,15.18247766,14.41,12,18.833,3.543,-0.197
Experiment_2 2D airfoil at High Re,15.08205286,14.22,16,20.052,4.479,-0.229
Experiment_2 2D airfoil at High Re,15.03956812,14.14,17,19.743,4.755,-0.274
Experiment_2 2D airfoil at High Re,15.03956812,14.14,18,18.902,5.179,-0.287
Experiment_2 2D airfoil at High Re,14.94353584,13.96,20,18.590,6.057,-0.318
Experiment_3 3D airfoil,10.23602435,6.55,-4,0.138,1.116,-0.141
Experiment_3 3D airfoil,10.24383513,6.56,0,2.227,1.101,-0.107
Experiment_3 3D airfoil,10.22820761,6.54,4,4.381,1.191,-0.101
Experiment_3 3D airfoil,10.22038489,6.53,8,6.089,1.369,-0.102
Experiment_3 3D airfoil,10.18903394,6.49,12,7.453,1.658,-0.112
Experiment_3 3D airfoil,10.12604085,6.41,16,8.392,2.043,-0.122
Experiment_3 3D airfoil,10.05470191,6.32,17,8.180,2.497,-0.151
Experiment_3 3D airfoil,10.03877996,6.3,18,8.249,2.607,-0.166
Experiment_3 3D airfoil,9.974838039,6.22,20,8.168,2.962,-0.177
Experiment_4 3D airfoil at High Re,15.19301008,14.43,-4,-0.089,2.344,-0.217
Experiment_4 3D airfoil at High Re,15.23506694,14.51,0,5.157,2.315,-0.197
Experiment_4 3D airfoil at High Re,15.24556302,14.53,4,9.643,2.454,-0.169
Experiment_4 3D airfoil at High Re,15.22981618,14.5,8,13.6363,2.926,-0.177
Experiment_4 3D airfoil at High Re,15.16666532,14.38,12,16.773,3.635,-0.231
Experiment_4 3D airfoil at High Re,15.04488528,14.15,16,18.685,4.577,-0.24
Experiment_4 3D airfoil at High Re,15.05020055,14.16,17,18.935,4.705,-0.291
Experiment_4 3D airfoil at High Re,15.02360537,14.11,18,18.845,5.309,-0.322
Experiment_4 3D airfoil at High Re,14.9274704,13.93,20,18.769,6.065,-0.367
